,Unnamed: 0,prompt,noun_phrases,nouns
0,0,a green bench and a red car,a green bench;a red car,bench;car
1,1,a red bench and a green car,a red bench;a green car,bench;car
2,2,a green bench and a blue car,a green bench;a blue car,bench;car
3,3,a blue bench and a green car,a blue bench;a green car,bench;car
4,4,a red car and a gold clock,a red car;a gold clock,car;clock
5,5,a gold car and a red clock,a gold car;a red clock,car;clock
6,6,a red car and a brown clock,a red car;a brown clock,car;clock
7,7,a brown car and a red clock,a brown car;a red clock,car;clock
8,8,a red car and a brown elephant,a red car;a brown elephant,car;elephant
9,9,a brown car and a red elephant,a brown car;a red elephant,car;elephant
10,10,a red car and a pink elephant,a red car;a pink elephant,car;elephant
11,11,a pink car and a red elephant,a pink car;a red elephant,car;elephant
12,12,a green bench and a brown dog,a green bench;a brown dog,bench;dog
13,13,a brown bench and a green dog,a brown bench;a green dog,bench;dog
14,14,a green bench and a yellow dog,a green bench;a yellow dog,bench;dog
15,15,a yellow bench and a green dog,a yellow bench;a green dog,bench;dog
16,16,a brown dog and a blue horse,a brown dog;a blue horse,dog;horse
17,17,a blue dog and a brown horse,a blue dog;a brown horse,dog;horse
18,18,a yellow dog and a brown horse,a yellow dog;a brown horse,dog;horse
19,19,a brown dog and a yellow horse,a brown dog;a yellow horse,dog;horse
20,20,a red chair and a brown dog,a red chair;a brown dog,chair;dog
21,21,a brown chair and a red dog,a brown chair;a red dog,chair;dog
22,22,a red chair and a yellow dog,a red chair;a yellow dog,chair;dog
23,23,a yellow chair and a red dog,a yellow chair;a red dog,chair;dog
24,24,a green bench and a red train,a green bench;a red train,bench;train
25,25,a red bench and a green train,a red bench;a green train,bench;train
26,26,a green bench and a yellow train,a green bench;a yellow train,bench;train
27,27,a yellow bench and a green train,a yellow bench;a green train,bench;train
28,28,a green bench and a blue boat,a green bench;a blue boat,bench;boat
29,29,a blue bench and a green boat,a blue bench;a green boat,bench;boat
30,30,a green bench and a red boat,a green bench;a red boat,bench;boat
31,31,a red bench and a green boat,a red bench;a green boat,bench;boat
32,32,a gold clock and a blue vase,a gold clock;a blue vase,clock;vase
33,33,a blue clock and a gold vase,a blue clock;a gold vase,clock;vase
34,34,a gold clock and a green vase,a gold clock;a green vase,clock;vase
35,35,a green clock and a gold vase,a green clock;a gold vase,clock;vase
36,36,a red car and a brown cow,a red car;a brown cow,car;cow
37,37,a brown car and a red cow,a brown car;a red cow,car;cow
38,38,a blue car and a brown cow,a blue car;a brown cow,car;cow
39,39,a brown car and a blue cow,a brown car;a blue cow,car;cow
40,40,a red bird and a brown giraffe,a red bird;a brown giraffe,bird;giraffe
41,41,a brown bird and a red giraffe,a brown bird;a red giraffe,bird;giraffe
42,42,a brown cow and a pink sheep,a brown cow;a pink sheep,cow;sheep
43,43,a pink cow and a brown sheep,a pink cow;a brown sheep,cow;sheep
44,44,a red cow and a brown sheep,a red cow;a brown sheep,cow;sheep
45,45,a brown cow and a red sheep,a brown cow;a red sheep,cow;sheep
46,46,a blue boat and a red car,a blue boat;a red car,boat;car
47,47,a red boat and a blue car,a red boat;a blue car,boat;car
48,48,a red boat and a blue car,a red boat;a blue car,boat;car
49,49,a blue boat and a red car,a blue boat;a red car,boat;car
50,50,a blue bowl and a red cup,a blue bowl;a red cup,bowl;cup
51,51,a red bowl and a blue cup,a red bowl;a blue cup,bowl;cup
52,52,a red bowl and a blue cup,a red bowl;a blue cup,bowl;cup
53,53,a blue bowl and a red cup,a blue bowl;a red cup,bowl;cup
54,54,a green bench and a brown cat,a green bench;a brown cat,bench;cat
55,55,a brown bench and a green cat,a brown bench;a green cat,bench;cat
56,56,a green bench and a yellow cat,a green bench;a yellow cat,bench;cat
57,57,a yellow bench and a green cat,a yellow bench;a green cat,bench;cat
58,58,a red car and a brown sheep,a red car;a brown sheep,car;sheep
59,59,a brown car and a red sheep,a brown car;a red sheep,car;sheep
60,60,a red car and a pink sheep,a red car;a pink sheep,car;sheep
61,61,a pink car and a red sheep,a pink car;a red sheep,car;sheep
62,62,a brown cat and a yellow dog,a brown cat;a yellow dog,cat;dog
63,63,a yellow cat and a brown dog,a yellow cat;a brown dog,cat;dog
64,64,a yellow cat and a brown dog,a yellow cat;a brown dog,cat;dog
65,65,a brown cat and a yellow dog,a brown cat;a yellow dog,cat;dog
66,66,a blue bowl and a brown cat,a blue bowl;a brown cat,bowl;cat
67,67,a brown bowl and a blue cat,a brown bowl;a blue cat,bowl;cat
68,68,a blue bowl and a yellow cat,a blue bowl;a yellow cat,bowl;cat
69,69,a yellow bowl and a blue cat,a yellow bowl;a blue cat,bowl;cat
70,70,a brown cow and a blue horse,a brown cow;a blue horse,cow;horse
71,71,a blue cow and a brown horse,a blue cow;a brown horse,cow;horse
72,72,a red cow and a brown horse,a red cow;a brown horse,cow;horse
73,73,a brown cow and a red horse,a brown cow;a red horse,cow;horse
74,74,a red book and a gold clock,a red book;a gold clock,book;clock
75,75,a gold book and a red clock,a gold book;a red clock,book;clock
76,76,a red book and a brown clock,a red book;a brown clock,book;clock
77,77,a brown book and a red clock,a brown book;a red clock,book;clock
78,78,a red chair and a gold clock,a red chair;a gold clock,chair;clock
79,79,a gold chair and a red clock,a gold chair;a red clock,chair;clock
80,80,a red chair and a brown clock,a red chair;a brown clock,chair;clock
81,81,a brown chair and a red clock,a brown chair;a red clock,chair;clock
82,82,a brown bird and a pink elephant,a brown bird;a pink elephant,bird;elephant
83,83,a pink bird and a brown elephant,a pink bird;a brown elephant,bird;elephant
